Tip;Hesap_Adi;Tarih;Açıklama;Tutar
Banka Hesabı;QNB - DBS;25/08/2025;Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090141920.;-36328,6
Banka Hesabı;QNB - DBS;25/08/2025;Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090141921.;-4302,1
Banka Hesabı;QNB - DBS;25/08/2025;Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090141922.;-9690,38
Banka Hesabı;QNB - DBS;25/08/2025;Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090143334.;-23957,52
Banka Hesabı;QNB - DBS;25/08/2025;Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090143335.;-13926,39
Banka Hesabı;QNB - DBS;25/08/2025;Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090143336.;-12805,62
Banka Hesabı;QNB - Vadesiz Kobi Nakit;13/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N222 FAST NOTONUS SATIŞ İşlemi;825
Banka Hesabı;QNB - Vadesiz Kobi Nakit;13/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi;4623
Banka Hesabı;QNB - Vadesiz Kobi Nakit;13/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi;19004
Banka Hesabı;QNB - Vadesiz Kobi Nakit;13/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi;16638
Banka Hesabı;QNB - Vadesiz Kobi Nakit;13/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O138 QNB Banka Kartı İşlemi;1080
Banka Hesabı;QNB - Vadesiz Kobi Nakit;13/08/2025;Transfer İşlemleri - Alıcı:Gümüşbulut Danışmanlık Turizm Gıda Sanay-Hesaptan hesaba havale Al.Hs:91739448 Mobil Bankacılı;-42170
Banka Hesabı;QNB - Vadesiz Kobi Nakit;14/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N222 FAST NOTONUS SATIŞ İşlemi;360
Banka Hesabı;QNB - Vadesiz Kobi Nakit;14/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi;1795
Banka Hesabı;QNB - Vadesiz Kobi Nakit;14/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi;16820
Banka Hesabı;QNB - Vadesiz Kobi Nakit;14/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi;16350
Banka Hesabı;QNB - Vadesiz Kobi Nakit;14/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O138 QNB Banka Kartı İşlemi;1050
Banka Hesabı;QNB - Vadesiz Kobi Nakit;14/08/2025;Transfer İşlemleri - Alıcı:Gümüşbulut Danışmanlık Turizm Gıda Sanay-Hesaptan hesaba havale Al.Hs:91739448 Mobil Bankacılı;-36375
Banka Hesabı;QNB - Vadesiz Kobi Nakit;15/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N222 FAST NOTONUS SATIŞ İşlemi;2010
Banka Hesabı;QNB - Vadesiz Kobi Nakit;15/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi;4415
Banka Hesabı;QNB - Vadesiz Kobi Nakit;15/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi;22310
Banka Hesabı;QNB - Vadesiz Kobi Nakit;15/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi;11790
Banka Hesabı;QNB - Vadesiz Kobi Nakit;15/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O138 QNB Banka Kartı İşlemi;1520
Banka Hesabı;QNB - Vadesiz Kobi Nakit;15/08/2025;Transfer İşlemleri - Gönderen: SET KURUMSAL HİZMETLER TİC. ANONİM ŞTİ. Sorgu No: 0166368 - SETCARD_56495_GÜMÜSBULUT DAN.T;39176,89
Banka Hesabı;QNB - Vadesiz Kobi Nakit;15/08/2025;Transfer İşlemleri - Gönderen: EDENRED KURUMSAL ÇÖZÜMLER A.Ş. Sorgu No: 0167273 - 30762145TICKET RESTAURANT ÖDEM AKBANK T;81013,88
Banka Hesabı;QNB - Vadesiz Kobi Nakit;15/08/2025;Transfer İşlemleri - Gönderen: METROPAL KURUMSAL HİZMETLER ANONİM ŞİRKETİ Sorgu No: 0041722 - GBD'2025000000106 NOLU FATU;42588,17
Banka Hesabı;QNB - Vadesiz Kobi Nakit;15/08/2025;Transfer İşlemleri - Gönderen: PLUXEE ÇALIŞAN DENEYİMİ DANIŞMANLIK VE P Sorgu No: 0788389 - Pluxee EFT -449574 AKBANK T.A;101071,09
Banka Hesabı;QNB - Vadesiz Kobi Nakit;16/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N222 FAST NOTONUS SATIŞ İşlemi;290
Banka Hesabı;QNB - Vadesiz Kobi Nakit;16/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi;4925
Banka Hesabı;QNB - Vadesiz Kobi Nakit;16/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi;16655
Banka Hesabı;QNB - Vadesiz Kobi Nakit;16/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi;7985
Banka Hesabı;QNB - Vadesiz Kobi Nakit;16/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O138 QNB Banka Kartı İşlemi;2090
