Tip,Hesap_Adi,Tarih,Açıklama,Tutar
Banka Hesabı,QNB - DBS,08/08/2025,"Ödeme İşlemleri - MURAT CİNCİ, Eksik Ödeme Farkı",-1516.66
Banka Hesabı,QNB - DBS,08/08/2025,"Ödeme İşlemleri - EDA NUR CANDAN, Temmuz Ayı maaş, ve diğer ödemeleri",-12349.00
Banka Hesabı,QNB - DBS,08/08/2025,"Ödeme İşlemleri - TAVUK DÜNYASI GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ, 21000082 Gümüşbulut Danışmanlık Tur.Ve",-9060.00
Banka Hesabı,QNB - DBS,08/08/2025,Transfer İşlemleri - Gönderen:Gümüşbulut Danışmanlık Turizm Gıda Sanay-Hesaptan hesaba havale,33608.82
Banka Hesabı,QNB - DBS,08/08/2025,Transfer İşlemleri - Alıcı : Tuna Özdemir Türkiye Garanti Bankası A.Ş. Sorgu No: 1013274974 MOBIL,-5400.00
Banka Hesabı,QNB - DBS,08/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090136599.,-53856.55
Banka Hesabı,QNB - DBS,08/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090137515.,-43447.41
Banka Hesabı,QNB - DBS,08/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090137517.,-31918.97
Banka Hesabı,QNB - DBS,08/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090136601.,-18316.43
Banka Hesabı,QNB - DBS,08/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090136600.,-5345.43
Banka Hesabı,QNB - DBS,08/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090137516.,-2456.83
Banka Hesabı,QNB - DBS,09/08/2025,"Mevduat İşlemleri - FS995 NOLU ATM DEN VADESIZ HESABA  PARA YATIRMA, 117653",6400.00
Banka Hesabı,QNB - DBS,11/08/2025,Transfer İşlemleri - Gönderen:Gümüşbulut Danışmanlık Turizm Gıda Sanay-Hesaptan hesaba havale,138263.45
Banka Hesabı,QNB - DBS,11/08/2025,Transfer İşlemleri - Alıcı : pepsi cola servis ve dağıtım limited şirketi Türk Ekonomi Bankası A.Ş. Sorgu No: 1023612033 ,-62664.01
Banka Hesabı,QNB - DBS,11/08/2025,"Mevduat İşlemleri - FS995 NOLU ATM DEN VADESIZ HESABA  PARA YATIRMA, 122218",12200.00
Banka Hesabı,QNB - DBS,12/08/2025,Transfer İşlemleri - Gönderen:Gümüşbulut Danışmanlık Turizm Gıda Sanay-Hesaptan hesaba havale,39529.04
Banka Hesabı,QNB - DBS,13/08/2025,Transfer İşlemleri - Gönderen:Gümüşbulut Danışmanlık Turizm Gıda Sanay-Hesaptan hesaba havale,42170.00
Banka Hesabı,QNB - DBS,13/08/2025,"Mevduat İşlemleri - FS995 NOLU ATM DEN VADESIZ HESABA  PARA YATIRMA, 880788",13900.00
Banka Hesabı,QNB - DBS,14/08/2025,Kart İşlemleri - Kredi Kartları Otomatik Tahsilat,-137677.17
Banka Hesabı,QNB - DBS,14/08/2025,Transfer İşlemleri - Gönderen:Gümüşbulut Danışmanlık Turizm Gıda Sanay-Hesaptan hesaba havale,36375.00
Banka Hesabı,QNB - DBS,14/08/2025,"Mevduat İşlemleri - FS995 NOLU ATM DEN VADESIZ HESABA  PARA YATIRMA, 328871",10350.00
